Stunden,Wolbecker Straße (gesamt),FR stadteinwärts,FR stadtauswärts,Temperatur (°C),Windstärke (km/h),Wetter
1/6/2016 1:00,25,10,15,-2,13,wolkig
1/6/2016 2:00,18,10,8,-2,9,Schneeregen
1/6/2016 3:00,9,6,3,-2,11,wolkig
1/6/2016 4:00,14,8,6,-2,11,wolkig
1/6/2016 5:00,59,27,32,-2,13,wolkig
1/6/2016 6:00,211,109,102,-2,13,Schneeregen
1/6/2016 7:00,472,292,180,-2,11,Schneeregen
1/6/2016 8:00,544,381,163,-2,11,Schneeregen
1/6/2016 9:00,462,327,135,-2,11,Schneeregen
1/6/2016 10:00,440,290,150,-2,11,Schneeregen
1/6/2016 11:00,430,259,171,-2,11,Schneeregen
1/6/2016 12:00,533,274,259,-2,11,Schneeregen
1/6/2016 13:00,525,303,222,-2,11,wolkig
1/6/2016 14:00,521,236,285,-2,15,wolkig
1/6/2016 15:00,530,235,295,-2,9,wolkig
1/6/2016 16:00,659,282,377,-2,9,wolkig
1/6/2016 17:00,734,345,389,-2,7,wolkig
1/6/2016 18:00,696,289,407,-2,9,wolkig
1/6/2016 19:00,492,189,303,-2,6,wolkig
1/6/2016 20:00,342,144,198,-2,7,wolkig
1/6/2016 21:00,225,124,101,-2,7,wolkig
1/6/2016 22:00,207,119,88,-2,6,wolkig
1/6/2016 23:00,105,58,47,-1,6,wolkig
1/7/2016 0:00,55,28,27,-1,6,wolkig
1/7/2016 1:00,20,9,11,-1,6,wolkig
1/7/2016 2:00,20,9,11,0,2,wolkig
1/7/2016 3:00,10,3,7,0,4,wolkig
1/7/2016 4:00,21,9,12,0,6,wolkig
1/7/2016 5:00,61,26,35,1,6,wolkig
1/7/2016 6:00,256,109,147,1,7,wolkig
1/7/2016 7:00,840,584,256,2,11,Nebel
1/7/2016 8:00,707,489,218,2,7,Nebel
1/7/2016 9:00,597,425,172,3,13,Nebel
1/7/2016 10:00,472,287,185,3,9,
1/7/2016 11:00,562,344,218,5,9,
1/7/2016 12:00,527,254,273,5,9,Klarer Himmel
1/7/2016 13:00,640,328,312,6,9,Klarer Himmel
1/7/2016 14:00,643,307,336,6,17,Klarer Himmel
1/7/2016 15:00,729,323,406,6,15,wolkig
1/7/2016 16:00,769,310,459,5,17,Regen
1/7/2016 17:00,703,324,379,5,15,Regen
1/7/2016 18:00,572,226,346,5,24,Regen
1/7/2016 19:00,510,230,280,5,20,Regen
1/7/2016 20:00,271,100,171,5,19,Regen
1/7/2016 21:00,204,88,116,7,43,Regen
1/7/2016 22:00,163,78,85,6,35,Regen
1/7/2016 23:00,108,47,61,6,28,teilweise bewölkt
1/8/2016 0:00,43,25,18,6,30,teilweise bewölkt
1/8/2016 1:00,25,12,13,5,32,teilweise bewölkt
1/8/2016 2:00,4,1,3,5,28,wolkig
1/8/2016 3:00,13,2,11,5,33,Klarer Himmel
1/8/2016 4:00,14,6,8,5,32,Klarer Himmel
1/8/2016 5:00,59,28,31,5,32,Klarer Himmel
1/8/2016 6:00,233,100,133,5,32,Klarer Himmel
1/8/2016 7:00,773,514,259,5,28,teilweise bewölkt
1/8/2016 8:00,679,477,202,4,28,teilweise bewölkt
1/8/2016 9:00,580,404,176,4,26,teilweise bewölkt
1/8/2016 10:00,503,342,161,5,28,teilweise bewölkt
1/8/2016 11:00,553,317,236,6,26,teilweise bewölkt
1/8/2016 12:00,663,330,333,7,24,teilweise bewölkt
1/8/2016 13:00,819,371,448,7,24,teilweise bewölkt
1/8/2016 14:00,809,409,400,8,19,teilweise bewölkt
1/8/2016 15:00,816,356,460,7,17,teilweise bewölkt
1/8/2016 16:00,790,344,446,7,13,wolkig
1/8/2016 17:00,767,350,417,7,15,wolkig
1/8/2016 18:00,662,285,377,6,13,teilweise bewölkt
1/8/2016 19:00,576,275,301,5,9,Klarer Himmel
1/8/2016 20:00,378,163,215,4,11,Klarer Himmel
1/8/2016 21:00,283,131,152,4,11,Klarer Himmel
1/8/2016 22:00,263,123,140,2,7,Klarer Himmel
1/8/2016 23:00,217,97,120,2,7,Klarer Himmel
1/9/2016 0:00,186,86,100,1,6,Klarer Himmel
1/9/2016 1:00,156,60,96,1,6,Klarer Himmel
1/9/2016 2:00,97,43,54,0,6,Klarer Himmel
1/9/2016 3:00,48,20,28,1,7,wolkig
1/9/2016 4:00,44,22,22,1,9,wolkig
1/9/2016 5:00,48,29,19,1,7,Schnee
1/9/2016 6:00,43,25,18,1,9,wolkig
1/9/2016 7:00,110,61,49,1,9,teilweise bewölkt
1/9/2016 8:00,197,113,84,1,9,teilweise bewölkt
1/9/2016 9:00,374,261,113,2,9,Klarer Himmel
1/9/2016 10:00,524,357,167,4,9,Klarer Himmel
1/9/2016 11:00,644,396,248,6,13,Klarer Himmel
1/9/2016 12:00,715,418,297,6,7,Klarer Himmel
1/9/2016 13:00,744,398,346,7,11,Klarer Himmel
1/9/2016 14:00,736,318,418,7,9,Klarer Himmel
1/9/2016 15:00,679,303,376,7,7,Klarer Himmel
1/9/2016 16:00,550,204,346,7,9,Klarer Himmel
1/9/2016 17:00,522,222,300,7,9,Klarer Himmel
1/9/2016 18:00,490,194,296,6,13,Klarer Himmel
1/9/2016 19:00,426,194,232,5,20,Klarer Himmel
1/9/2016 20:00,318,168,150,5,15,wolkig
1/9/2016 21:00,215,106,109,4,13,teilweise bewölkt
1/9/2016 22:00,218,123,95,3,13,teilweise bewölkt
1/9/2016 23:00,168,67,101,3,13,teilweise bewölkt
1/10/2016 0:00,199,84,115,2,9,Klarer Himmel
1/10/2016 1:00,146,66,80,3,15,teilweise bewölkt
1/10/2016 2:00,97,54,43,3,15,Klarer Himmel
1/10/2016 3:00,66,35,31,4,13,wolkig
1/10/2016 4:00,49,26,23,4,13,Regen
1/10/2016 5:00,35,24,11,5,13,wolkig
1/10/2016 6:00,33,15,18,5,13,wolkig
1/10/2016 7:00,40,15,25,6,9,Regen
1/10/2016 8:00,62,36,26,6,13,Regen
1/10/2016 9:00,114,72,42,6,15,wolkig
1/10/2016 10:00,207,119,88,7,19,wolkig
1/10/2016 11:00,218,126,92,8,22,teilweise bewölkt
1/10/2016 12:00,245,125,120,8,20,teilweise bewölkt
1/10/2016 13:00,349,196,153,9,22,teilweise bewölkt
1/10/2016 14:00,425,253,172,9,19,teilweise bewölkt
1/10/2016 15:00,372,186,186,8,17,teilweise bewölkt
1/10/2016 16:00,424,203,221,7,11,Klarer Himmel
1/10/2016 17:00,331,163,168,7,15,Klarer Himmel
1/10/2016 18:00,357,182,175,7,11,wolkig
1/10/2016 19:00,267,164,103,6,11,Regen
1/10/2016 20:00,175,93,82,5,6,wolkig
1/10/2016 21:00,118,64,54,5,7,wolkig
1/10/2016 22:00,117,73,44,5,9,wolkig
1/10/2016 23:00,44,18,26,5,13,wolkig
1/11/2016 0:00,27,17,10,5,9,wolkig
1/11/2016 1:00,7,3,4,5,11,wolkig
1/11/2016 2:00,4,1,3,6,9,wolkig
1/11/2016 3:00,3,0,3,6,11,wolkig
1/11/2016 4:00,10,4,6,4,6,wolkig
1/11/2016 5:00,75,32,43,3,9,teilweise bewölkt
1/11/2016 6:00,261,113,148,3,7,teilweise bewölkt
1/11/2016 7:00,896,593,303,3,7,teilweise bewölkt
1/11/2016 8:00,806,575,231,3,7,Klarer Himmel
1/11/2016 9:00,683,530,153,3,9,Klarer Himmel
1/11/2016 10:00,512,322,190,3,9,Klarer Himmel
1/11/2016 11:00,523,305,218,4,7,wolkig
1/11/2016 12:00,595,273,322,5,9,Regen
1/11/2016 13:00,548,274,274,5,13,Regen
1/11/2016 14:00,483,222,261,5,7,Regen
1/11/2016 15:00,610,270,340,5,9,Regen
1/11/2016 16:00,771,316,455,5,7,Regen
1/11/2016 17:00,849,370,479,5,9,wolkig
1/11/2016 18:00,774,302,472,5,6,wolkig
1/11/2016 19:00,578,222,356,5,7,Regen
1/11/2016 20:00,316,124,192,5,7,wolkig
1/11/2016 21:00,258,120,138,6,13,wolkig
1/11/2016 22:00,179,85,94,6,13,Regen
1/11/2016 23:00,94,50,44,6,11,Regen
1/12/2016 0:00,40,16,24,6,17,Regen
1/12/2016 1:00,22,14,8,6,17,Regen
1/12/2016 2:00,9,2,7,6,13,Regen
1/12/2016 3:00,6,4,2,6,15,wolkig
1/12/2016 4:00,13,9,4,6,15,wolkig
1/12/2016 5:00,69,27,42,5,20,wolkig
1/12/2016 6:00,282,127,155,5,20,wolkig
1/12/2016 7:00,905,604,301,6,22,wolkig
1/12/2016 8:00,796,573,223,5,19,wolkig
1/12/2016 9:00,684,501,183,6,20,wolkig
1/12/2016 10:00,500,331,169,6,19,wolkig
1/12/2016 11:00,514,299,215,6,26,wolkig
1/12/2016 12:00,554,281,273,6,22,Regen
1/12/2016 13:00,648,303,345,7,22,wolkig
1/12/2016 14:00,617,277,340,6,20,Regen
1/12/2016 15:00,733,344,389,6,20,wolkig
1/12/2016 16:00,889,372,517,7,17,wolkig
1/12/2016 17:00,956,447,509,7,17,wolkig
1/12/2016 18:00,883,368,515,6,17,wolkig
1/12/2016 19:00,748,351,397,6,17,wolkig
1/12/2016 20:00,419,162,257,6,20,wolkig
1/12/2016 21:00,285,110,175,6,24,wolkig
1/12/2016 22:00,288,144,144,5,22,wolkig
1/12/2016 23:00,150,73,77,5,20,Regen
1/13/2016 0:00,57,32,25,4,20,Regen
1/13/2016 1:00,27,14,13,4,15,wolkig
1/13/2016 2:00,6,3,3,4,17,Regen
1/13/2016 3:00,4,2,2,4,17,Regen
1/13/2016 4:00,12,5,7,5,19,wolkig
1/13/2016 5:00,66,26,40,5,20,wolkig
1/13/2016 6:00,290,117,173,5,22,wolkig
1/13/2016 7:00,856,570,286,5,24,Regen
1/13/2016 8:00,830,584,246,5,24,wolkig
1/13/2016 9:00,682,505,177,5,17,wolkig
1/13/2016 10:00,558,357,201,5,19,wolkig
1/13/2016 11:00,527,293,234,6,17,wolkig
1/13/2016 12:00,632,307,325,6,17,wolkig
1/13/2016 13:00,755,358,397,6,13,wolkig
1/13/2016 14:00,662,307,355,6,19,wolkig
1/13/2016 15:00,720,327,393,6,7,wolkig
1/13/2016 16:00,789,309,480,5,28,Regen
1/13/2016 17:00,860,402,458,4,15,wolkig
1/13/2016 18:00,744,318,426,4,13,wolkig
1/13/2016 19:00,630,266,364,5,20,wolkig
1/13/2016 20:00,396,168,228,4,20,teilweise bewölkt
1/13/2016 21:00,302,128,174,3,17,teilweise bewölkt
1/13/2016 22:00,258,128,130,3,11,teilweise bewölkt
1/13/2016 23:00,154,87,67,3,11,teilweise bewölkt
1/14/2016 0:00,83,30,53,3,15,teilweise bewölkt
1/14/2016 1:00,44,24,20,2,13,teilweise bewölkt
1/14/2016 2:00,23,8,15,1,9,teilweise bewölkt
1/14/2016 3:00,7,1,6,1,9,wolkig
1/14/2016 4:00,18,9,9,1,9,teilweise bewölkt
1/14/2016 5:00,61,25,36,1,13,wolkig
1/14/2016 6:00,244,104,140,1,13,wolkig
1/14/2016 7:00,851,575,276,1,13,wolkig
1/14/2016 8:00,792,550,242,2,17,Klarer Himmel
1/14/2016 9:00,652,479,173,2,19,Klarer Himmel
1/14/2016 10:00,479,306,173,4,22,wolkig
1/14/2016 11:00,530,287,243,4,22,Regen
1/14/2016 12:00,503,258,245,4,28,Regen
1/14/2016 13:00,541,248,293,4,20,Regen
1/14/2016 14:00,539,258,281,3,22,Regen
1/14/2016 15:00,592,261,331,2,19,Regen
1/14/2016 16:00,766,327,439,3,15,wolkig
1/14/2016 17:00,838,384,454,3,15,wolkig
1/14/2016 18:00,846,354,492,3,15,teilweise bewölkt
1/14/2016 19:00,586,242,344,3,17,Regen
1/14/2016 20:00,387,148,239,2,17,wolkig
1/14/2016 21:00,252,112,140,3,17,Regen
1/14/2016 22:00,231,109,122,3,17,Regen
1/14/2016 23:00,140,69,71,3,15,Regen
1/15/2016 0:00,75,36,39,3,15,wolkig
1/15/2016 1:00,28,12,16,3,15,Regen
1/15/2016 2:00,15,11,4,2,15,Regen
1/15/2016 3:00,17,6,11,2,15,Schnee
1/15/2016 4:00,14,8,6,2,13,Schnee
1/15/2016 5:00,58,21,37,1,7,Schnee
1/15/2016 6:00,222,94,128,2,6,Schnee
1/15/2016 7:00,757,506,251,2,7,wolkig
1/15/2016 8:00,704,487,217,1,13,wolkig
1/15/2016 9:00,552,397,155,2,9,wolkig
1/15/2016 10:00,484,323,161,2,9,wolkig
1/15/2016 11:00,521,280,241,3,11,wolkig
1/15/2016 12:00,626,299,327,3,17,wolkig
1/15/2016 13:00,764,319,445,2,13,wolkig
1/15/2016 14:00,718,336,382,3,13,wolkig
1/15/2016 15:00,681,318,363,2,20,wolkig
1/15/2016 16:00,708,300,408,2,15,wolkig
1/15/2016 17:00,697,301,396,2,9,wolkig
1/15/2016 18:00,628,258,370,2,11,wolkig
1/15/2016 19:00,557,245,312,2,9,wolkig
1/15/2016 20:00,357,158,199,1,9,wolkig
1/15/2016 21:00,260,124,136,2,9,wolkig
1/15/2016 22:00,246,129,117,2,7,wolkig
1/15/2016 23:00,177,82,95,0,4,wolkig
1/16/2016 0:00,167,76,91,0,4,wolkig
1/16/2016 1:00,147,52,95,0,7,wolkig
1/16/2016 2:00,88,48,40,1,7,wolkig
1/16/2016 3:00,67,30,37,1,9,teilweise bewölkt
1/16/2016 4:00,58,39,19,1,9,teilweise bewölkt
1/16/2016 5:00,43,23,20,0,9,teilweise bewölkt
1/16/2016 6:00,52,25,27,0,13,wolkig
1/16/2016 7:00,103,58,45,1,20,Schnee
1/16/2016 8:00,196,111,85,1,20,Schnee
1/16/2016 9:00,340,233,107,2,22,Schnee
1/16/2016 10:00,367,244,123,2,20,Regen
1/16/2016 11:00,417,249,168,2,32,Regen
1/16/2016 12:00,392,199,193,1,26,Schnee
1/16/2016 13:00,425,232,193,1,30,wolkig
1/16/2016 14:00,473,217,256,2,24,wolkig
1/16/2016 15:00,434,199,235,1,17,Schnee
1/16/2016 16:00,452,179,273,1,13,Schnee
1/16/2016 17:00,361,140,221,1,11,teilweise bewölkt
1/16/2016 18:00,410,170,240,0,9,wolkig
1/16/2016 19:00,329,146,183,0,17,Schnee
1/16/2016 20:00,264,114,150,0,9,teilweise bewölkt
1/16/2016 21:00,202,95,107,-1,11,teilweise bewölkt
1/16/2016 22:00,198,108,90,0,17,Schnee
1/16/2016 23:00,152,85,67,0,17,teilweise bewölkt
1/17/2016 0:00,151,81,70,0,17,wolkig
1/17/2016 1:00,125,72,53,-1,13,wolkig
1/17/2016 2:00,87,41,46,-1,13,Klarer Himmel
1/17/2016 3:00,52,34,18,-1,17,wolkig
1/17/2016 4:00,57,42,15,0,13,wolkig
1/17/2016 5:00,32,18,14,-1,19,wolkig
1/17/2016 6:00,26,15,11,-1,15,wolkig
1/17/2016 7:00,44,22,22,-1,13,wolkig
1/17/2016 8:00,52,24,28,-1,13,wolkig
1/17/2016 9:00,99,62,37,-1,9,wolkig
1/17/2016 10:00,167,98,69,0,7,wolkig
1/17/2016 11:00,194,115,79,0,11,wolkig
1/17/2016 12:00,233,131,102,0,11,wolkig
1/17/2016 13:00,242,131,111,0,11,wolkig
1/17/2016 14:00,240,123,117,0,9,Schnee
1/17/2016 15:00,263,131,132,0,11,wolkig
1/17/2016 16:00,278,146,132,-1,9,teilweise bewölkt
1/17/2016 17:00,258,132,126,-2,2,teilweise bewölkt
1/17/2016 18:00,290,147,143,-3,2,Klarer Himmel
1/17/2016 19:00,273,124,149,-4,4,Klarer Himmel
1/17/2016 20:00,181,97,84,-5,2,Klarer Himmel
1/17/2016 21:00,121,69,52,-5,4,Nebel
1/17/2016 22:00,136,89,47,-6,2,Nebel
1/17/2016 23:00,71,39,32,-7,2,Klarer Himmel
1/18/2016 0:00,47,32,15,-6,2,Nebel
1/18/2016 1:00,9,3,6,-7,0,Klarer Himmel
1/18/2016 2:00,4,1,3,-7,0,Klarer Himmel
1/18/2016 3:00,2,1,1,-7,2,
1/18/2016 4:00,10,6,4,-7,6,Klarer Himmel
1/18/2016 5:00,66,32,34,-7,2,
1/18/2016 6:00,237,105,132,-7,2,
1/18/2016 7:00,727,470,257,-7,4,
1/18/2016 8:00,706,501,205,-6,6,Nebel
1/18/2016 9:00,583,435,148,-5,6,Nebel
1/18/2016 10:00,480,331,149,-4,6,
1/18/2016 11:00,468,279,189,-3,6,
1/18/2016 12:00,516,272,244,-2,7,Klarer Himmel
1/18/2016 13:00,631,320,311,-1,7,teilweise bewölkt
1/18/2016 14:00,594,294,300,-1,9,teilweise bewölkt
1/18/2016 15:00,676,321,355,-1,6,Klarer Himmel
1/18/2016 16:00,810,365,445,-2,6,Klarer Himmel
1/18/2016 17:00,884,361,523,-3,6,Klarer Himmel
1/18/2016 18:00,762,301,461,-3,4,Klarer Himmel
1/18/2016 19:00,602,258,344,-3,4,Klarer Himmel
1/18/2016 20:00,334,135,199,-4,7,Klarer Himmel
1/18/2016 21:00,241,90,151,-4,9,Klarer Himmel
1/18/2016 22:00,209,101,108,-5,6,Klarer Himmel
1/18/2016 23:00,110,55,55,-5,4,Klarer Himmel
1/19/2016 0:00,49,27,22,-5,6,Klarer Himmel
1/19/2016 1:00,20,10,10,-6,9,Klarer Himmel
1/19/2016 2:00,5,2,3,-7,4,Klarer Himmel
1/19/2016 3:00,4,1,3,-8,2,Klarer Himmel
1/19/2016 4:00,16,6,10,-8,2,Klarer Himmel
1/19/2016 5:00,69,31,38,-7,4,Klarer Himmel
1/19/2016 6:00,240,106,134,-8,4,Klarer Himmel
1/19/2016 7:00,819,544,275,-8,7,Klarer Himmel
1/19/2016 8:00,747,524,223,-8,6,Klarer Himmel
1/19/2016 9:00,618,444,174,-7,6,Klarer Himmel
1/19/2016 10:00,476,306,170,-4,6,Klarer Himmel
1/19/2016 11:00,459,288,171,-3,13,Klarer Himmel
1/19/2016 12:00,555,274,281,-2,13,Klarer Himmel
1/19/2016 13:00,646,299,347,-1,13,Klarer Himmel
1/19/2016 14:00,590,290,300,-1,11,Klarer Himmel
1/19/2016 15:00,686,339,347,-1,11,
1/19/2016 16:00,844,380,464,-1,11,wolkig
1/19/2016 17:00,883,392,491,-1,9,wolkig
1/19/2016 18:00,824,344,480,-2,17,Schnee
1/19/2016 19:00,643,262,381,-2,9,Schnee
1/19/2016 20:00,378,165,213,-2,15,Schnee
1/19/2016 21:00,277,116,161,-1,11,wolkig
1/19/2016 22:00,250,137,113,-1,9,wolkig
1/19/2016 23:00,109,54,55,-1,13,Klarer Himmel
1/20/2016 0:00,53,29,24,-1,9,wolkig
1/20/2016 1:00,19,7,12,-1,9,wolkig
1/20/2016 2:00,9,5,4,-1,9,wolkig
1/20/2016 3:00,5,1,4,-1,9,Schnee
1/20/2016 4:00,15,7,8,-1,13,wolkig
1/20/2016 5:00,70,33,37,-1,13,wolkig
1/20/2016 6:00,257,119,138,0,13,wolkig
1/20/2016 7:00,790,506,284,-1,13,Schnee
1/20/2016 8:00,765,533,232,0,15,wolkig
1/20/2016 9:00,561,410,151,0,17,wolkig
1/20/2016 10:00,444,279,165,1,17,wolkig
1/20/2016 11:00,464,288,176,1,15,Schnee
1/20/2016 12:00,545,273,272,2,19,wolkig
1/20/2016 13:00,593,297,296,3,15,wolkig
1/20/2016 14:00,618,276,342,2,15,wolkig
1/20/2016 15:00,622,280,342,2,11,wolkig
1/20/2016 16:00,782,325,457,2,11,wolkig
1/20/2016 17:00,790,371,419,1,9,wolkig
1/20/2016 18:00,738,308,430,1,6,wolkig
1/20/2016 19:00,642,296,346,1,6,wolkig
1/20/2016 20:00,402,166,236,1,4,wolkig
1/20/2016 21:00,293,140,153,1,4,wolkig
1/20/2016 22:00,267,118,149,1,4,wolkig
1/20/2016 23:00,158,70,88,1,4,wolkig
1/21/2016 0:00,77,32,45,0,4,wolkig
1/21/2016 1:00,47,13,34,-2,2,teilweise bewölkt
1/21/2016 2:00,19,6,13,-3,4,Nebel
1/21/2016 3:00,16,6,10,-4,2,Nebel
1/21/2016 4:00,17,5,12,-5,4,Nebel
1/21/2016 5:00,62,33,29,-4,4,Nebel
1/21/2016 6:00,238,100,138,-4,2,Nebel
1/21/2016 7:00,742,479,263,-3,4,wolkig
1/21/2016 8:00,739,532,207,-3,2,Nebel
1/21/2016 9:00,584,412,172,-3,4,wolkig
1/21/2016 10:00,476,331,145,-2,4,teilweise bewölkt
1/21/2016 11:00,517,302,215,-2,6,Nebel
1/21/2016 12:00,558,253,305,-3,7,Nebel
1/21/2016 13:00,579,276,303,-3,7,Nebel
1/21/2016 14:00,601,276,325,-3,6,Nebel
1/21/2016 15:00,689,334,355,-3,6,Nebel
1/21/2016 16:00,738,302,436,-2,4,Nebel
1/21/2016 17:00,830,361,469,-2,7,Nebel
1/21/2016 18:00,739,307,432,-3,6,Nebel
1/21/2016 19:00,640,288,352,-3,6,Nebel
1/21/2016 20:00,383,156,227,-4,6,Nebel
1/21/2016 21:00,273,128,145,-5,4,wolkig
1/21/2016 22:00,202,87,115,-5,4,Nebel
1/21/2016 23:00,149,70,79,-6,2,
1/22/2016 0:00,76,38,38,-6,6,
1/22/2016 1:00,41,18,23,-6,6,
1/22/2016 2:00,16,6,10,-6,6,
1/22/2016 3:00,6,2,4,-6,6,
1/22/2016 4:00,19,12,7,-6,6,
1/22/2016 5:00,66,36,30,-6,7,
